Location,Other Location Details,Full Location Details,Size,Bedrooms,Bathrooms,Property Type,Purchase Type,Price,Site
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,2,2,Apartment,Sale,"KSh 15,500,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,1,1,Apartment,Sale,"KSh 8,100,000",propertypro
Syokimau Nairobi,Syokimau Nairobi,"Syokimau Nairobi,Syokimau Nairobi",None,2,2,Apartment,Sale,"KSh 6,300,000",propertypro
Westlands Nairobi,Westlands Nairobi,"Westlands Nairobi,Westlands Nairobi",None,2,2,Apartment,Sale,"KSh 9,300,000",propertypro
Westlands Nairobi,Westlands Nairobi,"Westlands Nairobi,Westlands Nairobi",None,1,1,Apartment,Sale,"KSh 6,950,000",propertypro
aboretum Kileleshwa Nairobi,aboretum Kileleshwa Nairobi,"aboretum Kileleshwa Nairobi,aboretum Kileleshwa Nairobi",None,1,1,Apartment,Sale,"KSh 6,700,000",propertypro
Kilimani Nairobi,Kilimani Nairobi,"Kilimani Nairobi,Kilimani Nairobi",None,3,3,Apartment,Sale,"KSh 20,000,000",propertypro
Kilimani Nairobi,Kilimani Nairobi,"Kilimani Nairobi,Kilimani Nairobi",None,3,3,Apartment,Sale,"KSh 16,500,000",propertypro
Parklands Nairobi,Parklands Nairobi,"Parklands Nairobi,Parklands Nairobi",None,2,2,Apartment,Sale,"KSh 10,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,2,2,Apartment,Sale,"KSh 12,500,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,1,None,Apartment,Sale,"KSh 6,500,000",propertypro
"Wood Avenue, Kilimani Nairobi","Wood Avenue, Kilimani Nairobi","Wood Avenue, Kilimani Nairobi,Wood Avenue, Kilimani Nairobi",None,None,1,Apartment,Sale,"KSh 5,300,000",propertypro
Imara Daima Nairobi,Imara Daima Nairobi,"Imara Daima Nairobi,Imara Daima Nairobi",None,4,4,House,Sale,"KSh 14,000,000",propertypro
Westlands Nairobi,Westlands Nairobi,"Westlands Nairobi,Westlands Nairobi",None,3,4,Apartment,Sale,"KSh 12,500,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,4,5,Apartment,Sale,"KSh 20,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,4,5,Apartment,Sale,"KSh 20,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,3,4,Apartment,Sale,"KSh 12,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,3,4,Apartment,Sale,"KSh 11,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,2,3,Apartment,Sale,"KSh 7,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,2,3,Apartment,Sale,"KSh 7,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,3,4,Apartment,Sale,"KSh 11,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,2,3,Apartment,Sale,"KSh 7,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,2,3,Apartment,Sale,"KSh 9,500,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,1,1,Apartment,Sale,"KSh 5,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,1,1,Apartment,Sale,"KSh 5,500,000",propertypro
Kilimani Nairobi,Kilimani Nairobi,"Kilimani Nairobi,Kilimani Nairobi",None,1,1,Apartment,Sale,"KSh 4,300,000",propertypro
Kilimani Nairobi,Kilimani Nairobi,"Kilimani Nairobi,Kilimani Nairobi",None,1,1,Apartment,Sale,"KSh 4,500,000",propertypro
"Mwimuto, Kitisuru Nairobi","Mwimuto, Kitisuru Nairobi","Mwimuto, Kitisuru Nairobi,Mwimuto, Kitisuru Nairobi",None,3,3,Apartment,Sale,"KSh 13,500,000",propertypro
"Mwimuto, Kitisuru Nairobi","Mwimuto, Kitisuru Nairobi","Mwimuto, Kitisuru Nairobi,Mwimuto, Kitisuru Nairobi",None,2,2,Apartment,Sale,"KSh 9,000,000",propertypro
Karen Nairobi,Karen Nairobi,"Karen Nairobi,Karen Nairobi",None,4,4,House,Sale,"KSh 65,000,000",propertypro
Langata Nairobi,Langata Nairobi,"Langata Nairobi,Langata Nairobi",None,3,3,Apartment,Sale,"KSh 20,500,000",propertypro
"Ngumo estate, Langata Nairobi","Ngumo estate, Langata Nairobi","Ngumo estate, Langata Nairobi,Ngumo estate, Langata Nairobi",None,3,3,House,Sale,"KSh 16,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,6,6,House,Sale,"KSh 82,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,3,3,Apartment,Sale,"KSh 13,500,000",propertypro
South C Nairobi,South C Nairobi,"South C Nairobi,South C Nairobi",None,4,4,House,Sale,"KSh 23,000,000",propertypro
Karen Nairobi,Karen Nairobi,"Karen Nairobi,Karen Nairobi",None,5,5,House,Sale,"KSh 99,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,4,4,House,Sale,"KSh 80,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,5,5,House,Sale,"KSh 75,000,000",propertypro
Kitisuru Nairobi,Kitisuru Nairobi,"Kitisuru Nairobi,Kitisuru Nairobi",None,5,5,House,Sale,"KSh 45,000,000",propertypro
Runda Nairobi,Runda Nairobi,"Runda Nairobi,Runda Nairobi",None,5,5,House,Sale,"KSh 100,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,5,5,House,Sale,"KSh 60,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,5,5,House,Sale,"KSh 55,000,000",propertypro
Gigiri Nairobi,Gigiri Nairobi,"Gigiri Nairobi,Gigiri Nairobi",None,None,None,Other,Sale,"KSh 150,000,000",propertypro
Westlands Nairobi,Westlands Nairobi,"Westlands Nairobi,Westlands Nairobi",None,4,4,Apartment,Sale,"KSh 49,000,000",propertypro
Riverside Nairobi,Riverside Nairobi,"Riverside Nairobi,Riverside Nairobi",None,3,3,House,Sale,"KSh 27,000,000",propertypro
Muthaiga Nairobi,Muthaiga Nairobi,"Muthaiga Nairobi,Muthaiga Nairobi",None,5,5,House,Sale,"KSh 60,000,000",propertypro
Westlands Nairobi,Westlands Nairobi,"Westlands Nairobi,Westlands Nairobi",None,6,6,Apartment,Sale,"KSh 49,500,000",propertypro
Westlands Nairobi,Westlands Nairobi,"Westlands Nairobi,Westlands Nairobi",None,4,4,Apartment,Sale,"KSh 29,500,000",propertypro
Westlands Nairobi,Westlands Nairobi,"Westlands Nairobi,Westlands Nairobi",None,3,3,Apartment,Sale,"KSh 21,500,000",propertypro
Ruaka Nairobi,Ruaka Nairobi,"Ruaka Nairobi,Ruaka Nairobi",None,2,2,Apartment,Sale,"KSh 6,800,000",propertypro
Ruaka Nairobi,Ruaka Nairobi,"Ruaka Nairobi,Ruaka Nairobi",None,1,1,Apartment,Sale,"KSh 5,100,000",propertypro
Kiambu Road Nairobi,Kiambu Road Nairobi,"Kiambu Road Nairobi,Kiambu Road Nairobi",None,3,3,Apartment,Sale,"KSh 16,000,000",propertypro
Kilimani Nairobi,Kilimani Nairobi,"Kilimani Nairobi,Kilimani Nairobi",None,1,1,Apartment,Sale,"KSh 10,500,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,2,2,Apartment,Sale,"KSh 16,500,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,2,2,Apartment,Sale,"KSh 17,500,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,2,2,Apartment,Sale,"KSh 14,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,4,5,Apartment,Sale,"KSh 20,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,2,3,Apartment,Sale,"KSh 7,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,2,3,Apartment,Sale,"KSh 7,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,4,5,Apartment,Sale,"KSh 20,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,3,4,Apartment,Sale,"KSh 12,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,2,3,Apartment,Sale,"KSh 9,500,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,2,3,Apartment,Sale,"KSh 7,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,1,1,Apartment,Sale,"KSh 5,500,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,1,1,Apartment,Sale,"KSh 5,500,000",propertypro
Syokimau Nairobi,Syokimau Nairobi,"Syokimau Nairobi,Syokimau Nairobi",None,4,4,House,Sale,"KSh 21,000,000",propertypro
Parklands Nairobi,Parklands Nairobi,"Parklands Nairobi,Parklands Nairobi",None,2,2,Apartment,Sale,"KSh 17,000,000",propertypro
Runda Nairobi,Runda Nairobi,"Runda Nairobi,Runda Nairobi",None,5,5,House,Sale,"KSh 140,000,000",propertypro
Riverside Nairobi,Riverside Nairobi,"Riverside Nairobi,Riverside Nairobi",None,3,3,Apartment,Sale,"KSh 26,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,3,3,Apartment,Sale,"KSh 18,500,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,4,4,Apartment,Sale,"KSh 24,500,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,4,4,House,Sale,"KSh 70,000,000",propertypro
Syokimau Nairobi,Syokimau Nairobi,"Syokimau Nairobi,Syokimau Nairobi",None,None,None,Other,Sale,"KSh 3,000,000",propertypro
Syokimau Nairobi,Syokimau Nairobi,"Syokimau Nairobi,Syokimau Nairobi",None,3,3,Apartment,Sale,"KSh 9,500,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,5,6,House,Sale,"KSh 85,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,5,5,Apartment,Sale,"KSh 75,000,000",propertypro
"Joska Machakos County, Joska Nairobi","Joska Machakos County, Joska Nairobi","Joska Machakos County, Joska Nairobi,Joska Machakos County, Joska Nairobi",None,0,0,Other,Sale,"KSh 450,000",propertypro
