Location,Other Location Details,Size,Bedrooms,Bathrooms,Price,Property Type,Purchase Type
Joska,Kamulu Joska Malaa,None,4,4,"KSh 10,000,000",House,Sale
0712J,"Juja Mirimaini, Juja",3600 ft²,3,4,"KSh 9,500,000",House,Sale
Muthaiga,Muthaiga,None,4,4,"KSh 115,000,000",House,Sale
Muthaiga,Muthaiga,None,4,4,"KSh 169,000,000",House,Sale
Lavington,Lavington,None,4,6,"KSh 60,000,000",House,Sale
Lavington,Lavington,None,5,6,"KSh 55,000,000",House,Sale
Kileleshwa,Kileleshwa,None,4,,"KSh 45,000,000",House,Sale
Karen,Karen,None,5,6,"KSh 99,000,000",House,Sale
Kitisuru,Westlands,None,5,5,"KSh 125,000,000",House,Sale
Garden Estate,Roysambu,400 m²,5,6,"KSh 75,000,000",House,Sale
Kiambu Road,Kiambu Road,None,4,4,"KSh 55,000,000",House,Sale
Kiambu Road,Kiambu Road,None,4,4,"KSh 30,000,000",House,Sale
23,"kamiti corner, Tatu City, Ruiru",320 m²,4,4,"KSh 28,000,000",House,Sale
Thigiri,Westlands,None,7,7,"KSh 250,000,000",House,Sale
Westlands Area,Westlands,None,3,2,"KSh 35,000,000",House,Sale
Lavington,Lavington,None,4,4,"KSh 80,000,000",House,Sale
Kibiko,Ngong,450 m²,4,3,"KSh 9,500,000",House,Sale
Kenyatta Road,Kenyatta Road,None,3,3,"KSh 7,800,000",House,Sale
Z,",, Runda, Westlands",None,4,5,"KSh 25,000,000",House,Sale
Kitisuru,Westlands,None,4,5,"KSh 45,000,000",House,Sale
Kiambu Road,Kiambu Road,None,4,5,"KSh 32,500,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 68,000,000",House,Sale
Runda,Westlands,None,4,5,"KSh 40,000,000",House,Sale
0711J,"Lavington Estate, Lavington",4800 ft²,4,4,"KSh 80,000,000",House,Sale
Masai lodge road,Ongata Rongai,None,4,4,"KSh 18,500,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 60,000,000",House,Sale
Lavington,Lavington,None,5,6,"KSh 55,000,000",House,Sale
Watamu,Watamu,None,5,5,"KSh 65,000,000",House,Sale
Evergreen,"Runda, Westlands",None,4,3,"KSh 68,000,000",House,Sale
Weigh bridge Mtwapa,Mtwapa,None,3,3,"KSh 8,500,000",House,Sale
Kiriwa road,"Kitisuru, Westlands",None,6,5,"KSh 47,000,000",House,Sale
Karen,Karen,None,5,6,"KSh 70,000,000",House,Sale
Eastern ByPass,Ruiru,None,4,4,"KSh 14,200,000",House,Sale
Nyali Mombasa,"Nyali Area, Nyali",3800 ft²,5,5,"KSh 48,000,000",House,Sale
Nyali Mombasa,"Nyali Area, Nyali",3500 ft²,4,4,"KSh 37,500,000",House,Sale
Lavington,Lavington,None,4,5,"KSh 75,000,000",House,Sale
Lavington,Lavington,None,4,6,"KSh 60,000,000",House,Sale
Shanzu Go khart,Shanzu,1400 ft²,2,2,"KSh 6,500,000",House,Sale
Eastern ByPass,Ruiru,190 m²,4,5,"KSh 13,600,000",House,Sale
Kitisuru,Westlands,None,5,,"KSh 130,000,000",House,Sale
Kiambu Road,Kiambu Road,None,4,5,"KSh 28,000,000",House,Sale
Vipingo,Vipingo,None,4,4,"KSh 65,000,000",House,Sale
Vipingo,Vipingo,None,3,3,"KSh 20,000,000",House,Sale
Lavington,Lavington,440 m²,4,4,"KSh 80,000,000",House,Sale
Njathaini road,"Runda, Westlands",None,4,5,"KSh 25,000,000",House,Sale
Kilimani,Kilimani,None,3,2,"KSh 36,000,000",House,Sale
34,"Runda paradise, Runda, Westlands",None,4,4,"KSh 37,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 82,000,000",House,Sale
Diani,Diani,None,3,2,"KSh 194,000,000",House,Sale
Runda,Westlands,None,6,5,"KSh 140,000,000",House,Sale
Lavington,Lavington,None,4,,"KSh 65,000,000",House,Sale
Diani,Diani,None,4,4,"KSh 31,000,000",House,Sale
Garden Estate,Ridgeways,None,5,5,"KSh 75,000,000",House,Sale
Kiambu Road,Kiambu Road,None,4,4,"KSh 33,000,000",House,Sale
Karen,Karen,None,5,6,"KSh 105,000,000",House,Sale
Runda,Westlands,None,5,6,"KSh 330,000,000",House,Sale
Nyali Mombasa,"Nyali Area, Nyali",None,4,4,"KSh 40,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 80,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 95,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 95,000,000",House,Sale
Lavington,Lavington,None,6,6,"KSh 75,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 75,000,000",House,Sale
Mukoma area,Karen,None,5,5,"KSh 85,000,000",House,Sale
Lavington,Lavington,None,4,4,"KSh 68,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 80,000,000",House,Sale
Gitanga Road,Lavington,None,3,3,"KSh 26,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 95,000,000",House,Sale
Ridgeways,Ridgeways,None,5,6,"KSh 65,000,000",House,Sale
Muthangari area,Lavington,400 m²,5,6,"KSh 65,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 95,000,000",House,Sale
Gigiri,Westlands,None,5,4,"KSh 120,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 53,000,000",House,Sale
Lavington,Lavington,None,6,6,"KSh 75,000,000",House,Sale
Nyali Area,Nyali,None,6,6,"KSh 100,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 75,000,000",House,Sale
Lavington,Lavington,None,4,4,"KSh 85,000,000",House,Sale
Lavington,Lavington,None,4,4,"KSh 85,000,000",House,Sale
Kenyatta Road,Kenyatta Road,None,3,4,"KSh 9,250,000",House,Sale
Nyali Area,Nyali,None,5,6,"KSh 70,000,000",House,Sale
Lavington,Lavington,None,5,6,"KSh 55,000,000",House,Sale
SYOKIMAU,Syokimau,None,3,3,"KSh 6,800,000",House,Sale
MATANGI,Ruiru,None,4,4,"KSh 16,000,000",House,Sale
Kitengela,Kitengela,None,3,3,"KSh 7,000,000",House,Sale
Lavington,Lavington,4000 ft²,5,5,"KSh 80,000,000",House,Sale
Nyali beach road,"Beach road, Nyali Area, Nyali",2800 ft²,3,3,"KSh 28,000,000",House,Sale
Gigiri,Westlands,None,5,5,"KSh 125,000,000",House,Sale
Eastern ByPass,Ruiru,None,4,3,"KSh 13,600,000",House,Sale
Lavington,Lavington,None,4,4,"KSh 40,000,000",House,Sale
Kitisuru,Westlands,None,4,4,"KSh 38,000,000",House,Sale
Lavington,Lavington,None,4,,"KSh 55,000,000",House,Sale
Runda,Westlands,None,5,5,"KSh 200,000,000",House,Sale
