Location,Beds,Baths,Toilets,Price,Property Type,Purchase Type
Kasarani Nairobi,1,1,1,"KSh 10,000",House,Rent
Kasarani Nairobi,2,2,2,"KSh 15,000",House,Rent
Buruburu Nairobi,3,3,3,"KSh 25,000",House,Rent
Utawala Nairobi,1,1,1,"KSh 12,000",House,Rent
Muthaiga Area Muthaiga Nairobi,2,2,2,"KSh 38,000",House,Rent
Syokimau Nairobi,4,4,4,"KSh 40,000",House,Rent
"Mara savana, Donholm Nairobi",3,2,2,"KSh 22,000",House,Rent
Buruburu Nairobi,2,2,2,"KSh 15,000",House,Rent
Ruaraka Nairobi,1,1,0,"KSh 10,000",House,Rent
Kilimani Nairobi,2,2,2,"KSh 35,000",House,Rent
Hurlingham Nairobi,4,4,5,"KSh 45,000",House,Rent
Ngong Rd Nairobi,3,2,2,"KSh 35,000",House,Rent
Harambee Nairobi,2,2,3,"KSh 16,000",House,Rent
Garden Estate Nairobi,3,3,4,"KSh 35,000",House,Rent
Jamhuri Nairobi,3,3,3,"KSh 22,000",House,Rent
Upper Hill Nairobi,3,2,2,"KSh 35,000",House,Rent
Kawangware Nairobi,1,1,1,"KSh 5,500",House,Rent
Kilimani Nairobi,0,0,0,"KSh 110,000",Other,Rent
Kilimani Nairobi,0,0,0,"KSh 100,000",Other,Rent
Syokimau Nairobi,3,2,2,"KSh 25,000",House,Rent
Opp Roosters Inn Garden Estate Nairobi,2,3,3,"KSh 30,000",House,Rent
Behind Sunstar Hotel Garden Estate Nairobi,3,4,4,"KSh 40,000",House,Rent
Langata Nairobi,2,2,0,"KSh 32,000",House,Rent
"1st avenue, Parklands Nairobi",1,1,1,"KSh 10,000",Apartment,Rent
Langata Nairobi,3,3,0,"KSh 45,000",House,Rent
"Wood Avenue, Kilimani Nairobi",1,1,1,"KSh 10,000",Apartment,Rent
Astro Utawala Nairobi,2,3,3,"KSh 15,000",House,Rent
Shooters Utawala Nairobi,2,3,3,"KSh 15,000",House,Rent
Roysambu Nairobi,1,1,0,"KSh 12,500",House,Rent
Shooters Utawala Nairobi,3,4,4,"KSh 20,000",House,Rent
Benedicta Utawala Nairobi,3,4,4,"KSh 20,000",House,Rent
South B Nairobi,1,1,1,"KSh 10,000",House,Rent
Kilimani Nairobi,1,1,1,"KSh 120,000",Apartment,Rent
Kilimani Nairobi,2,2,2,"KSh 160,000",Apartment,Rent
Kilimani Nairobi,beds,2,2,"KSh 100,000",Apartment,Rent
Kilimani Nairobi,beds,1,1,"KSh 90,000",Apartment,Rent
South B Nairobi,beds,baths,Toilets,"KSh 11,690",Other,Rent
Kilimani Nairobi,2,4,4,"KSh 120,000",Apartment,Rent
Lavington Nairobi,beds,baths,Toilets,"KSh 300,000",House,Rent
Kilimani Nairobi,4,3,3,"KSh 180,000",Apartment,Rent
South B Nairobi,2,3,3,"KSh 30,000",Apartment,Rent
Kilimani Nairobi,2,4,4,"KSh 115,000",Other,Rent
Westlands Nairobi,2,3,3,"KSh 100,000",Apartment,Rent
Syokimau Nairobi,beds,baths,Toilets,"KSh 300,000",Other,Rent
Syokimau Nairobi,beds,baths,Toilets,"KSh 58,800",Other,Rent
Industrial Area Nairobi,beds,baths,Toilets,"KSh 16,250",Other,Rent
Ngong Rd Nairobi,3,5,5,"KSh 120,000",Apartment,Rent
Ngong Rd Nairobi,2,3,3,"KSh 45,000",Apartment,Rent
Madaraka Nairobi,3,3,3,"KSh 90,000",Apartment,Rent
Kiambu Road Nairobi,3,5,5,"KSh 55,000",Apartment,Rent
Runda Nairobi,5,6,6,"KSh 650,000",House,Rent
Kilimani Nairobi,2,4,4,"KSh 150,000",Apartment,Rent
Kilimani Nairobi,1,2,2,"KSh 81,000",Apartment,Rent
"Mogoya court, South C Nairobi",3,3,3,"KSh 45,000",House,Rent
Westlands Nairobi,4,6,6,"KSh 300,000",Apartment,Rent
"12 TH STREET, Eastleigh South Nairobi",1,1,1,"KSh 10,000",Apartment,Rent
"Kenyatta road, Nairobi Central Nairobi",3,3,3,"KSh 30,000",House,Rent
"Langata road, Langata Area Langata Nairobi",3,3,3,"KSh 30,000",House,Rent
Ngara Nairobi,3,2,2,"KSh 60,000",Apartment,Rent
South B Nairobi,1,1,1,"KSh 6,500",House,Rent
Upper Hill Nairobi,4,4,4,"KSh 160,000",House,Rent
Utawala Nairobi,3,3,3,"KSh 30,000",House,Rent
Kitisuru Nairobi,beds,1,1,"KSh 58,500",Apartment,Rent
Kilimani Nairobi,beds,baths,Toilets,"KSh 220,000",Other,Rent
Kilimani Nairobi,2,4,4,"KSh 102,000",Apartment,Rent
"Nasra near bee centre, Embakasi Nairobi",3,3,3,"KSh 25,000",House,Rent
"Uhuru Highway, Nairobi Central Nairobi",beds,baths,Toilets,"KSh 6,250",Other,Rent
Utawala Embakasi Nairobi,3,3,3,"KSh 22,000",Apartment,Rent
Upper Hill Nairobi,beds,baths,Toilets,"KSh 48,893,600",Other,Rent
"Ruaka Joyland, Ruaka Nairobi",2,2,2,"KSh 18,000",House,Rent
Industrial Area Nairobi,beds,baths,Toilets,"KSh 476,000",House,Rent
Ngong Rd Nairobi,2,2,2,"KSh 110,000",Apartment,Rent
"Limuru, Nairobi Central Nairobi",beds,baths,Toilets,"KSh 72,100",Other,Rent
Nairobi West Nairobi,3,2,2,"KSh 72,500",Apartment,Rent
Madaraka Nairobi,3,3,3,"KSh 68,500",Apartment,Rent
Madaraka Nairobi,3,3,3,"KSh 75,800",Apartment,Rent
Pangani Nairobi,1,1,1,"KSh 12,000",House,Rent
Ruaka Nairobi,1,1,1,"KSh 10,000",House,Rent
Imara Daima Nairobi,1,1,1,"KSh 10,000",House,Rent
Kileleshwa Nairobi,3,3,3,"KSh 30,000",House,Rent
Mombasa Road Nairobi,beds,baths,Toilets,"KSh 132,000",House,Rent
Mombasa Road Nairobi,beds,baths,Toilets,"KSh 297,000",House,Rent
Kilimani Nairobi,2,2,2,"KSh 25,000",House,Rent
Kilimani Nairobi,beds,baths,Toilets,"KSh 242,600",Other,Rent
Mombasa Road Nairobi,beds,baths,Toilets,KSh 85,Other,Rent
Kilimani Nairobi,3,3,3,"KSh 150,000",House,Rent
Industrial Area Nairobi,beds,baths,Toilets,"KSh 350,000",House,Rent
Lavington Nairobi,1,1,1,"KSh 45,000",Apartment,Rent
Mombasa Road Nairobi,beds,baths,Toilets,"KSh 545,000",House,Rent
Kitisuru Nairobi,2,4,4,"KSh 70,000",Apartment,Rent
"Lenana road, Nairobi Central Nairobi",2,3,3,"KSh 60,000",Apartment,Rent
"Lenana road, Nairobi Central Nairobi",2,3,3,"KSh 58,500",Apartment,Rent
"Lenana road, Nairobi Central Nairobi",2,3,3,"KSh 70,000",Apartment,Rent
Lavington Nairobi,3,5,5,"KSh 140,000",Apartment,Rent
Kahawa Sukari Nairobi,1,1,0,"KSh 6,500",House,Rent
South C Nairobi,1,1,0,"KSh 8,000",House,Rent
Pangani Nairobi,1,1,0,"KSh 6,500",House,Rent
Nairobi West Nairobi,1,1,0,"KSh 7,500",House,Rent
Imara Daima Nairobi,1,0,0,"KSh 6,500",House,Rent
Westlands Nairobi,2,2,2,"$ 2,450",Apartment,Rent
phase 3 Buruburu Nairobi,1,1,1,"KSh 13,000",House,Rent
Kilimani Nairobi,3,3,3,"KSh 55,000",House,Rent
Kahawa West Nairobi,2,2,2,"KSh 17,000",House,Rent
"Fedha Estate Embakasi, Fedha Nairobi",1,1,1,"KSh 12,000",House,Rent
Lavington Nairobi,3,5,5,"KSh 200,000",Apartment,Rent
Lavington Nairobi,5,7,7,"KSh 350,000",House,Rent
Lavington Nairobi,5,7,7,"KSh 300,000",House,Rent
Industrial Area Nairobi,beds,baths,Toilets,"KSh 1,750,000",House,Rent
Riverside Nairobi,1,3,3,"KSh 85,000",Apartment,Rent
Riverside Nairobi,2,3,3,"KSh 105,000",Apartment,Rent
Mombasa Road Nairobi,beds,baths,Toilets,"KSh 31,450",Other,Rent
Westlands Nairobi,beds,baths,Toilets,"KSh 450,120",Other,Rent
Upper Hill Nairobi,beds,baths,Toilets,"KSh 348,232",Other,Rent
Mountain View Nairobi,1,1,0,"KSh 13,000",House,Rent
Kitisuru Nairobi,beds,1,1,"KSh 38,500",Apartment,Rent
Westlands Nairobi,beds,baths,Toilets,"KSh 12,000,000",Other,Rent
Kahawa Sukari Nairobi,1,1,0,"KSh 10,000",House,Rent
Westlands Nairobi,beds,baths,Toilets,"KSh 300,000",Other,Rent
Parklands Nairobi,beds,baths,Toilets,"KSh 711,480",Other,Rent
Buruburu Nairobi,beds,baths,Toilets,"KSh 69,312",Other,Rent
Madaraka Nairobi,3,3,3,"KSh 60,000",Apartment,Rent
Behind Equity bank Donholm Nairobi,1,1,1,"KSh 10,000",House,Rent
Phase 8 Donholm Nairobi,1,1,1,"KSh 10,000",House,Rent
Phase 5 Donholm Nairobi,2,3,3,"KSh 20,000",House,Rent
Green field Donholm Nairobi,2,3,3,"KSh 20,000",House,Rent
Harambee SACCO Donholm Nairobi,3,4,4,"KSh 30,000",House,Rent
Thome Nairobi,2,2,0,"KSh 25,000",House,Rent
Mara Savannah Donholm Nairobi,3,4,4,"KSh 30,000",House,Rent
Uthiru Ruthimitu Nairobi,1,1,1,"KSh 6,500",House,Rent
Parklands Nairobi,2,0,0,"KSh 25,000",House,Rent
Uthiru Ruthimitu Nairobi,2,2,2,"KSh 15,000",House,Rent
Parklands Nairobi,beds,baths,Toilets,"KSh 195,000",Other,Rent
"Nairobi West Hospital, Nairobi West Nairobi",0,1,1,"KSh 7,000",Apartment,Rent
Runda Nairobi,7,9,9,"KSh 767,983",House,Rent
South B Nairobi,3,3,3,"KSh 35,000",Apartment,Rent
South B Nairobi,2,2,2,"KSh 28,000",Apartment,Rent
Syokimau Nairobi,3,3,3,"KSh 40,000",Apartment,Rent
Kasarani Nairobi,1,1,1,"KSh 7,000",Apartment,Rent
Nairobi Central Nairobi,0,0,0,"KSh 100,000",Other,Rent
Kileleshwa Nairobi,beds,baths,Toilets,"KSh 240,000",Other,Rent
"Quick matt, Kahawa Wendani Nairobi",2,2,2,"KSh 17,000",House,Rent
"Thome Estate, Thome Nairobi",2,2,2,"KSh 25,000",House,Rent
Kahawa Sukari Nairobi,1,1,1,"KSh 10,000",House,Rent
Parklands Westlands Nairobi,beds,baths,Toilets,"KSh 778,365",Other,Rent
Syokimau Nairobi,beds,baths,Toilets,"KSh 440,000",House,Rent
Mombasa Road Nairobi,beds,baths,Toilets,"KSh 79,800",Other,Rent
Mombasa Rd Nairobi,beds,baths,Toilets,"KSh 188,860",Other,Rent
Karen Nairobi,5,4,4,"KSh 70,000",House,Rent
Jamhuri Nairobi,2,2,2,"KSh 20,000",House,Rent
Parkland Nairobi,1,1,1,"KSh 6,000",Apartment,Rent
Ngong Rd Nairobi,2,4,4,"KSh 75,000",Apartment,Rent
Ngara Nairobi,1,1,1,"KSh 5,500",Apartment,Rent
Katani Nairobi,3,2,2,"KSh 33,000",House,Rent
Parklands Westlands Nairobi,beds,baths,Toilets,"KSh 629,948",Other,Rent
Parklands Westlands Nairobi,beds,baths,Toilets,"KSh 877,205",Other,Rent
Westlands Area Westlands Nairobi,1,1,1,"KSh 6,500",Apartment,Rent
Parklands Westlands Nairobi,beds,baths,Toilets,"KSh 725,975",Other,Rent
Kileleshwa Nairobi,beds,1,1,"KSh 65,000",Apartment,Rent
Madaraka Langata Nairobi,3,3,3,"KSh 25,000",Apartment,Rent
Westlands Nairobi,4,3,3,"KSh 12,000,000",Apartment,Rent
Westlands Nairobi,3,4,4,"KSh 130,000",Apartment,Rent
Industrial Area Nairobi,beds,baths,Toilets,"KSh 76,500",Other,Rent
Industrial Area Nairobi,beds,baths,Toilets,"KSh 55,800",Other,Rent
Industrial Area Nairobi,beds,baths,Toilets,"KSh 90,000",Other,Rent
Industrial Area Nairobi,beds,baths,Toilets,"KSh 31,500",Other,Rent
Lavington Nairobi,3,4,4,"KSh 130,000",Apartment,Rent
Imara Daima Nairobi,1,1,1,"KSh 6,500",Apartment,Rent
Umoja Nairobi,1,2,0,"KSh 8,500",House,Rent
Uthiru Ruthimitu Nairobi,1,2,2,"KSh 10,000",House,Rent
Naivas South C Nairobi,0,1,1,"KSh 7,000",Apartment,Rent
Mountain View Nairobi,1,1,1,"KSh 6,000",House,Rent
Mirema Nairobi,2,2,2,"KSh 18,000",House,Rent
Karen Nairobi,1,1,1,"KSh 5,500",House,Rent
Madaraka Nairobi,2,2,2,"KSh 17,000",House,Rent
Kahawa Sukari Nairobi,2,2,2,"KSh 15,000",House,Rent
